a 工
qtgn 钅
qtgp 逛
qtgw 狭
qth 镍
qtj 独
qtjf 狸
qtjg 猩
qtjh 狮
qtjj 猖
qtjs 猓
qtk 铬
qtke 狷
qtl 狎
qtle 猬
qtle 猥
qtlq 猡
qtm 猾
qtmy 狈
qtn 勹
qtnf 狃
qtnh 猸
qtny 夕
qto 锹
qtop 逖
qtoy 狄
qtp 狞
qtpf 狩
qtq 狗
qtqh 狰
qtqh 獬
qtqn 狍
qtr 狐
qtrt 锇
qts 猹
qtt 猁
qtto 獯
qtu 狡
qtuj 獐
qtuq 獍
qtv 狠
qtvb 卿
qtvn 犰
qtvq 猊
qtw 猴
qtwc 狯
qtwi 猃
qtwk 猞
qtwt 狳
qtx 狒
qtxf 狴
qtxi 猕
qty 狼
qtyd 狱
qtyf 猝
qtyg 狺
qtyt 犷
qu 匀
qudb 锩
quf 钭
qug 镁
quga 锎
qugi 镧
quh 锌
quj 镜
qujg 锏
qujn 镱
quk 锐
qukg 锫
qum 镝
qun 钔
quo 镨
qup 镑
quq 铰
quqf 锵
qut 铲
quw 镒
qux 锑
qv 争
qvb 邹
qve 银
qvf 刍
qvfp 键
qvg 钕
qvhc 皱
qvhc 锼
qvk 铷
qvl 锱
qvn 急
qvp 锓
qvt 煞
qvw 雏
qw 欠
qwd 锻
qwg 铨
qwgk 铪
qwgr 镎
qwgu 镫
qww 锉
qwx 铧
qwy 锥
qwyc 铃
qwye 飧
qwye 镌
qwyn 钤
qxj 镄
qxk 镪
qxx 锴
qy 久
qya 镀
qyb 镦
qyc 铳
qycq 锍
qyd 訇
qye 铱
qyey 锿
qyi 勺
qyk 镶
qym 镐
qymh 铈
qymn 钪
qyn 钫
qync 鹱
qyne 袅
qyng 鸟
qynm 岛
qynm 凫
qyno 镳
qyns 枭
qynx 鸵
qyo 灸
qyt 卵
qytb 孵
qytd 镞
qyth 镟
qyuo 镰
qyv 贸
qyve 锒
qyvh 镛
qyvl 留
qyvp 遛
qyx 铉
r 的
ra 找
raa 拭
rab 皂
rad 撕
rae 撒
rag 扛
raj 措
rajd 摸
rajv 揠
ral 描
ran 拒
rans 揲
ranw 拣
rap 捞
raq 抠
ratq 挠
raw 拱
rawk 搭
raws 搽
rb 报
rbb 揶
rbcc 摄
rbi 拯
rbm 拙
rc 反
rca 拚
rcb 抒
rcbs 揉
rcc 掇
rccs 搡
rcd 掺
rce 捅
rcf 择
rck 抬
rcn 把
rcp 返
rct 挨
rcw 摊
rcy 瓜
rcyj 搔
rcyw 瓞
rd 拓
rdb 扼
rdc 拔
rdf 振
rdff 捱
rdfh 拜
rdfi 捺
rdfj 皋
rdfn 挎
rdfn 翱
rdgn 撼
rdj 排
rdjn 掩
rdm 颀
rdn 扰
rdp 挞
rds 掎
rdu 撩
rduw 撅
rdw 捧
rdwd 揍
rdx 拢
re 扔
ref 援
refy 捋
reh 拥
rep 授
rer 摇
rf 持
rfc 技
rffg 挂
rfh 盾
rfhp 遁
rfj 擀
rfk 拮
rfkm 撷
rfl 擂
rfm 质
rfn 抟
rfp 挝
rfq 抚
rft 拷
rfw 扶
rfwl 撵
rfwy 攉
rg 后
rgb 邱
rgbv 卮
rgd 丘
rgdn 掭
rge 捕
rgef 搏
rgf 皇
rgh 扌
rgke 攮
rgkg 捂
rgkp 逅
rgm 岳
rgp 遑
rgs 抹
rgt 乒
rgu 挟
rguh 抨
rgv 捷
rgw 兵
rgy 乓
rh 年
rha 掳
rhan 摅
rhb 卸
rhc 披
rhf 看
rhg 扯
rhh 攫
rhj 掉
rhk 牛
rhkg 拈
rhy 扑
rhyc 爬
rhyi 爪
ri 朱
rib 邾
rie 捎
rip 撑
ripq 搅
riq 挑
rit 抄
riu 泉
riv 挡
rj 提
rjb 撮
rjf 捍
rjfg 捏
rjg 担
rjh 抻
rjq 揭
rjt 揽
rjx 拽
rk 扣
rkb 揖
rkc 挹
rke 捐
rkh 捉
rkk 操
rkl 拐
rklj 捌
rkm 损
rl 押
rld 摁
rlf 摆
rlg 舞
rlge 擐
rlgy 掴
rls 捆
rlt 撂
rlx 摞
rm 抽
rma 缸
rmay 罐
rmc 投
rmd 揣
rmh 帛
rmhh 罅
rmhj 制
rmhr 掣
rmk 缶
rmm 撄
rmn 缺
rmnn 皑
rmw 摧
rn 所
rna 抿
rnae 搌
rnb 气
rnbm 掘
rnbt 撖
rnc 氢
rnd 据
rndq 氪
rne 氖
rnf 扭
rng 握
rnge 氰
rngg 氩
rnj 氘
rnjl 氲
rnk 擗
rnkj 氚
rnl 氤
rnm 氙
rnn 扎
rnnw 撰
rno 氮
rnp 氨
rnr 扬
rnrg 摺
rnt 拨
rntr 氕
rntu 氡
rnu 氧
rnua 摒
rnv 氯
rnw 氛
rnwy 抉
rnwy 擢
rnx 氟
rny 拟
rnyw 氦
ro 搂
rovt 擞
rp 近
rpd 迫
rpf 皖
rpg 揎
rpl 挥
rpr 摈
rps 拧
rpv 按
rpw 控
rpwh 撺
rpwi 擦
rpwn 挖
rpws 探
rq 换
rqa 抵
rqb 抑
rqc 鬼
rqcc 魃
rqcc 魑
rqce 魈
rqcf 魁
rqci 魅
rqcn 魍
rqcw 魉
rqg 撸
rqk 拘
rqkq 挽
rqku 搀
rqn 抱
rqo 掬
rqq 揿
rqr 掏
rqv 掐
rqvh 挣
rqw 欣
rqym 捣
rr 折
rrc 扳
rrcy 皈
rrg 拍
rrhm 搋
rrhy 抓
rrj 蜇
rrk 哲
rrkh 踅
rrp 逝
rrq 掀
rrqc 魄
rrr 白
rrt 捭
rry 拆
rryf 誓
rs 打
rsj 揸
rt 手
rta 托
rtb 拖
rtd 括
rtdj 挢
rte 搬
rtf 插
rtfb 郫
rtfg 鹎
rtfh 扦
rtfj 卑
rtfk 皓
rtfm 攒
rtfn 撬
rtfp 挺
rtgf 捶
rth 擤
rthi 攥
rto 揪
rtol 播
rtol 皤
rtt 斤
ru 拉
rua 拼
rub 搠
rud 搓
rudb 掷
ruf 拦
rufh 拌
rufh 抖
ruj 撞
rujf 掸
rujg 揞
ruk 掊
rum 摘
rumt 撇
run 扪
ruq 皎
rus 撙
rut 搁
ruv 接
ruvo 搛
rv 扫
rvf 挪
rvh 搜
rvk 招
rvl 抛
rvn 殷
rvq 拶
rvt 捃
rvy 执
rvyf 垫
rvyg 鸷
rvyi 絷
rvyj 蛰
rvyl 势
rvym 贽
rvyo 热
rvyr 挚
rw 失
rwb 抢
rwf 拊
rwg 拴
rwgd 揆
rwgi 捡
rwgj 揄
rwgk 拾
rwgr 搿
rwp 迭
rwv 扮
rwvr 掰
rww 挫
rwx 抡
rwy 扒
rwyc 擒
rwyc 拎
rwye 携
rwyg 推
rwyn 捻
rx 批
rxe 掾
rxf 掼
rxg 拇
rxj 指
rxjh 拂
rxl 拗
rxu 搦
rxxr 揩
ry 扩
rya 摭
ryc 撤
ryg 拄
ryh 掂
ryi 斥
ryiy 掠
ryj 挤
ryk 攘
ryl 擅
rym 搞
rymn 抗
ryn 护
rynd 捩
ryne 掮
rytp 邀
ryty 敫
ryv 搪
ryw 掖
ryx 摔
ryxl 搐
s 要
sa 械
sab 栉
sad 棋
sadd 榧
sadn 椹
saf 柑
sag 杠
sagg 框
sai 栋
saj 模
sak 槿
sam 横
san 柜
sap 檬
saq 枢
saqy 柩
sat 桡
sb 李
sbb 椰
sbd 椭
sc 权
scb 杼
scbk 橘
scbn 懋
sce 桶
scf 树
scfg 柽
scg 杩
scn 杷
scw 梭
scyy 杈
sd 枯
sdg 柘
sdgf 橱
sdh 楔
sdht 槭
sdl 枥
sdm 顶
sds 椅
sdt 梆
sdu 橛
sdw 棒
sdwd 楱
sdwj 椿
sdwt 榛
sdx 栊
sdy 杖
se 极
seb 桴
sec 楹
see 棚
set 杉
sf 村
sfb 鄄
sfc 枝
sff 桂
sffn 樗
sfg 杜
sfgn 甄
sfh 杆
sfhg 植
sfht 樾
sfi 标
sfij 剽
sfiq 飘
sfiu 票
sfiu 柰
sfiy 瓢
sfk 桔
sfl 檑
sfm 楠
sfn 椟
sft 材
sftj 楮
sftn 栲
sftx 栳
sfu 樯
sfw 棱
sg 本
sga 醋
sgaf 酣
sgag 醛
sgb 酏
sgc 酸
sgcf 桎
sgd 酉
sgde 醐
sgdg 酤
sgdl 醢
sgdy 酞
sge 酹
sgf 酝
sgfb 酵
sgfh 酐
sgfy 酎
sgg 枉
sggd 酽
sggy 酾
sgh 丁
sghe 醵
sghg 西
sgi 杯
sgj 醒
sgjg 桓
sgjh 醍
sgjq 梗
sgjx 醌
sgk 梧
sgkg 酲
sgl 楝
sgm 柄
sgmj 槽
sgmk 酮
sgmu 醴
sgn 配
sgne 醑
sgne 醪
sgnn 朽
sgo 醚
sgog 桠
sgoy 醭
sgp 酡
sgq 酌
sgqb 酗
sgqk 酩
sgqn 杌
sgs 酊
sgt 栈
sgtf 酢
sgtk 酷
sgtk 酪
sgto 醺
sgtq 酰
sgtu 酶
sgty 酥
sgu 枰
sguk 醅
sgw 酚
sgwo 醮
sgwt 酴
sgx 酯
sgy 醉
sgyb 醇
sgye 酿
sgyh 酬
sgyk 醣
sgyl 醯
sh 相
shi 椒
shj 棹
shm 桢
shn 想
shnt 栌
shy 朴
si 档
sie 梢
sii 桫
sip 樘
siq 桃
siqn 桄
sit 杪
siw 榉
sj 查
sjf 杳
sjj 覃
sjn 榻
sjs 棵
sjt 槛
sjtq 榄
sjx 棍
sk 可
skb 楫
skf 杏
skg 枵
skk 榀
sks 哥
sksw 歌
skw 枳
sl 楞
slh 柙
slk 枷
slq 椤
sm 机
smg 柚
smgk 桐
smm 栅
smmv 樱
smnn 桤
smq 枫
smqn 枧
smu 贾
smw 枘
sn 杨
snb 橄
snd 椐
sng 栩
snh 楣
sni 榍
snih 樨
snn 札
snn 杞
so 杰
sou 粟
sov 楼
sp 棕
spg 楦
spn 棺
spq 枕
spr 槟
sps 柠
spv 桉
spw 榨
spwi 檫
spwk 榕
spwy 榷
spx 柁
sq 构
sqa 柢
sqd 桅
sqdy 檐
sqe 桷
sqef 槲
sqg 橹
sqi 栎
sqj 橡
sqk 枸
sqq 攀
sqqd 樊
sqt 柳
sqy 榴
sqyy 杓
sr 析
src 板
srd 槔
srg 柏
srgb 栀
sri 株
srm 棉
srq 槐
srr 皙
sry 檄
sryy 柝
ss 林
ssb 郴
sse 彬
ssf 禁
ssg 栖
ssj 楂
ssk 柯
ssm 梵
ssn 楚
sso 焚
ssq 梦
sss 森
ssss 木
ssu 栗
ssv 婪
ssw 棼
ssyx 麓
st 格
sta 枨
std 桥
stdg 栝
stf 橇
stfh 杵
stfh 桁
stfk 梏
stfp 梃
stg 棰
sth 柞
stm 榭
sto 楸
stt 覆
stx 梅
sty 枚
su 样
suda 槎
suf 栏
suh 梓
suj 樟
suk 榈
sup 榜
suq 校
sus 榇
susf 樽
sux 梯
svc 概
sve 根
svfp 楗
svg 桕
svi 棣
svo 棂
sw 检
swb 枪
swc 松
swd 椴
swf 桧
swg 栓
swgj 榆
swgu 橙
swn 槌
sww 枞
swx 桦
swy 椎
swyc 檎
swyc 柃
swyf 榫
swyo 樵
sx 楷
sxe 椽
sxxe 橼
sxxn 枇
sy 术
syb 椁
syc 梳
syf 桩
syfj 槠
syg 柱
syiy 椋
syk 榱
syl 檀
syli 檩
sym 杭
symh 柿
symk 槁
syn 枋
synw 核
syp 述
syv 榔
t 和
ta 长
tab 筇
tad 箕
tadc 簸
tadd 篚
tadk 箬
tag 筐
tagw 箧
tah 逄
tak 升
takf 笸
tam 筑
tamw 簧
taq 簪
tav 乇
tavn 彻
taw 筮
tb 季
tbp 迤
tc 么
tca 径
tcb 笆
tcf 笃
tck 笞
tcy 私
td 知
tda 矩
tdaf 甜
tdas 榘
tdd 舌
tdg 短
tdgn 舔
tdgt 箴
tdh 逢
tdi 夭
tdij 籍
tdj 乔
tdjd 徘
tdjh 刮
tdkj 智
tdm 岙
tdn 乱
tdnj 稽
tdnm 嵇
tdp 适
tdq 鸹
tdqa 舐
tdt 敌
tdtf 筹
tdtj 矫
tdtn 憩
tdtv 矮
tdu 矢
tduh 辞
tdw 矬
tdwy 雉
tdx 笼
tdxh 矧
te 秀
tea 舡
teae 艨
tebg 稃
tebl 艋
teg 租
tegg 徂
tegj 艚
teh 舻
tei 舟
teie 艄
tek 舯
tel 盘
telb 筋
tem 般
temd 磐
temg 舳
temh 舢
temk 船
temq 舰
ten 艉
tep 透
tepx 舵
ter 舶
terc 舨
term 徭
tes 舸
tesg 舾
tet 艇
tetf 舴
teu 艏
teuf 艟
tev 稻
tevc 艘
tew 舱
tex 舭
tey 航
teyn 舫
teyq 舣
teyu 笈
teyx 舷
tf 行
tfc 丢
tfd 壬
tff 竺
tffh 街
tffu 等
tffy 待
tfh 秆
tfhw 稹
tfhy 徒
tfj 午
tfj 竿
tfjf 篝
tfk 千
tfkb 郜
tfkd 靠
tfkf 告
tfkg 秸
tfkg 鹄
tfkp 造
tfl 德
tfn 毛
tfnh 毪
tfnj 氇
tfnj 氆
tfnk 毡
tfnn 毳
tfno 毯
tfnp 毽
tfp 迁
tfpd 廷
tfpk 迕
tfq 先
tfqm 赞
tfqp 选
tfqu 筠
tft 箸
tfu 乖
tfuk 穑
tfvw 歃
tg 生
tga 垂
tgaj 笄
tge 箐
tgf 竽
tgh 征
tghf 眚
tghn 惩
tgj 重
tgjn 穗
tgjq 筻
tgk 衙
tgkm 籁
tgkw 簌
tgl 熏
tgll 甥
tgm 策
tgmu 箦
tgo 徕
tgr 笺
tgs 秣
tgu 秤
tgv 秉
th 处
tha 算
thc 彼
thd 自
thdc 篡
thdi 纂
thdu 臭
thf 乍
thfn 怎
thfp 迮
thg 片
thgc 版
thgd 牍
thgf 牌
thgs 牒
thgy 牖
thh 徙
thhh 衢
thj 昝
thk 咎
thl 鼻
thlf 鼾
thlg 齄
thlj 劓
thlv 鼽
thn 息
thp 延
ths 臬
ti 秒
tie 稍
tief 筲
tif 衍
tifn 愆
tig 簿
tim 徜
tir 箔
tj 得
tjf 香
tjgf 笪
tjgh 筛
tjh 利
tjr 犁
tjs 梨
tjsy 稞
tjt 复
tjtl 篮
tjtt 馥
tk 各
tkgg 程
tkh 种
tkhm 篑
tkk 稆
tkm 禹
tkw 积
tkwy 雒
tl 务
tld 血
tldt 篾
tlf 备
tlff 睾
tlg 箅
tlk 徊
tlkf 笳
tln 惫
tlnf 衄
tlo 粤
tlp 笾
tlq 箩
tlqi 囱
tlqi 囟
tlu 衅
tlw 稷
tm 向
tmb 秃
tmc 役
tmd 身
tmdf 射
tmdk 躺
tmdm 颓
tmdq 躯
tmds 躲
tmdx 躬
tmdy 秧
tmf 笛
tmfk 稠
tmg 微
tmgk 筒
tmgt 徽
tmgt 徵
tmh 币
tmo 奥
tmq 秽
tmqb 笕
tn 秘
tnb 乞
tng 笥
tnn 筷
tnp 迄
to 秋
toc 释
tol 番
tolb 鄱
toln 翻
tom 釉
ton 悉
tonr 簖
tonu 愁
tov 篓
tp 管
tpe 稼
tpi 乏
tpq 箢
tpw 箜
tq 称
tqd 稀
tqdh 衡
tqf 衔
tqj 徇
tqk 笱
tqq 移
tqr 笏
tqrq 篼
tqt 黎
tqto 黧
tqv 稳
tqvh 筝
tr 物
tra 箍
traf 箝
trc 筢
trch 箨
trd 犄
trdg 牯
trf 特
trfd 犊
trfg 牡
trfh 循
trg 徨
trgf 篁
trgk 牾
trh 御
trhm 篪
trhw 犋
trhy 笊
tri 穆
trk 筘
trng 鹅
trql 籀
trs 牺
trt 牧
trtf 稗
trtg 牲
trtk 牿
trtn 牦
trv 犍
trw 秩
trx 牝
try 徼
trya 犏
tryk 犒
ts 条
tsg 笨
tsh 箱
tsj 簟
tss 篥
tsy 秫
tt 笔
ttd 笑
ttdp 篷
ttfq 筅
ttg 竹
ttgf 笙
ttgy 攵
tth 笮
tthp 筵
ttl 丿
ttlx 篦
ttn 夂
ttnt 秭
ttnt 笫
ttt 禾
ttth 彳
tu 科
tud 徉
tue 箭
tuf 笠
tuh 乎
tuj 简
tujf 箪
tujj 螽
tuk 税
tuu 冬
tux 乘
tuxj 剩
tv 委
tve 很
tvel 簋
tvfh 律
tvij 箫
tvk 笤
tvp 逶
tvr 魏
tvt 笋
tw 答
twa 筏
twf 符
twgf 筌
twgi 签
twgu 簦
twh 筱
twi 黍
twik 黏
twn 篌
twt 徐
twy 稚
twyn 稔
tx 第
txe 篆
txen 胤
txg 每
txgg 鳘
txgi 繁
txgq 毓
txgt 敏
txi 系
txt 後
txx 秕
txxf 筚
ty 入
tyb 篱
tyg 往
tyiu 汆
tyk 穰
tym 稿
tymk 篙
tyn 彷
tyna 篇
tynx 簏
tyo 籴
tyt 簇
tyv 稂
u 产
ua 并
uaf 疳
uag 瓶
uagd 疟
uai 冻
uajd 瘼
uak 阈
uam 癀
uap 迸
uapl 痨
uaw 瘩
ub 闻
ubk 疗
ubk 疖
ubq 瘾
ubt 逆
ubte 朔
ubtf 塑
ubtg 癃
ubts 槊
uc 冯
uca 痉
ucd 闯
uce 痛
uceu 衮
uck 冶
ucq 兖
ucv 疤
ucw 竣
ucwy 瘫
ucy 瘙
ud 关
uda 差
udb 郑
udbb 卷
udc 闳
udca 羟
udct 羧
udd 闫
ude 豢
udg 减
udh 着
udhf 眷
udhn 瘛
udi 头
udj 羊
udjd 痱
udjh 判
udjn 阉
udjn 羯
udl 疬
udm 羰
udn 羞
udnb 羌
udng 翔
udnv 疠
udnv 疣
udp 送
udpi 闼
udq 羝
udqg 鲞
udr 拳
udrc 叛
uds 桊
udub 鄯
uduk 善
udv 券
udw 凑
udwc 羚
udy 状
udyf 誊
udyj 养
ue 前
ueg 疽
uejn 翦
uejo 煎
uejv 剪
uek 痈
uem 毅
uep 遂
uepc 阌
uey 瘃
uf 半
ufc 阖
uff 兰
uffd 闺
uffi 痔
ufg 壮
ufh 阗
ufhm 癫
ufk 斗
ufn 闱
ufni 痣
uft 闭
ufw 凌
ufy 装
ug 闰
ugd 闩
ugdu 美
uge 靖
ugh 症
ugi 痞
ugk 辣
ugkd 痦
ugki 竦
ugkj 瘌
ugkm 癞
ugku 痘
ugl 盖
ugli 阑
ugm 病
ugn 恙
ugo 羔
ugod 羹
ugog 痖
ugq 冽
ugt 羲
ugu 羡
uguf 瘗
ugv 姜
ugvv 凄
ugx 冱
ugxw 痍
ugy 癍
uh 站
uhc 疲
uhd 阒
uhh 癯
uhk 丫
uht 夔
uhx 疵
ui 冰
uii 痧
uit 阔
uiw 瘠
uj 间
ujb 鄣
uje 彰
ujf 音
ujfb 郸
ujfe 冁
ujff 童
ujfj 单
ujg 疸
uji 闽
ujj 章
ujjd 阊
ujl 瘟
ujn 意
ujq 竟
ujqn 竭
ujqu 韵
ujqw 歆
ujt 赣
ujtn 戆
ujv 韶
uk 部
ukd 问
ukg 瓿
ukh 冲
ukj 剖
ukk 癌
ukkd 闾
ukn 总
ukq 况
ukqb 竞
ukqb 兑
ul 曾
uld 痼
ulg 兽
ulgj 痹
uljn 甑
ulk 闸
ulkd 痂
ulkw 瘸
uls 阃
ulx 瘰
um 商
umc 疫
umd 端
umf 凋
umi 敝
umia 弊
umig 鳖
umih 瞥
umih 蹩
umin 憋
umk 疝
umm 瘿
umq 疯
umqy 飒
un 决
una 癜
unb 阚
ung 翊
unh 瘕
uni 闷
unk 癖
unr 疡
unwe 瘳
uo 普
uoo 痰
uov 瘘
up 帝
upmk 啻
upy 旁
uq 交
uqa 阍
uqb 郊
uqd 奖
uqf 将
uqg 癣
uqi 浆
uqj 阄
uqm 痪
uqn 疱
uqs 桨
uqsg 酱
uqt 效
uqv 净
uqvd 阎
uqw 次
uqwk 咨
uqwl 盗
uqwm 资
uqwn 瓷
uqwn 恣
uqwo 粢
uqwv 姿
uqy 疚
uqyl 瘤
ur 瓣
us 亲
usf 瘭
usg 尊
usgd 奠
usgd 猷
usgf 酋
usgp 遵
usgp 遒
usi 闲
usk 疔
uskd 疴
usq 鹇
usr 新
usw 凇
utd 疾
utdk 痴
utec 瘢
utem 颜
uter 彦
utf 冼
uth 首
uthf 痄
uthg 馘
uthp 道
uthx 瘪
utj 痢
utk 阁
utn 疙
utu 疼
utv 痿
uu 立
uub 阙
uud 痒
uuda 瘥
uuj 阐
uujf 瘅
uujk 瘴
uujn 癔
uuk 阅
uus 痫
uv 妆
uve 痕
uvf 妾
uvh 瘦
uvo 兼
uvog 鹣
uvow 歉
uvq 阋
uvw 瘐
uw 闪
uwa 阀
uwb 疮
uwe 疹
uwf 瘵
uwg 痊
uwgd 阕
uwj 疥
uwl 益
uwlj 蠲
uwn 瘊
uww 痤
uwy 准
uwyc 冷
ux 北
uxb 邶
uxe 背
uxh 弟
uxhg 鹈
uxhj 剃
uxhp 递
uxl 冀
uxt 凝
uxu 辫
uxx 兹
uxxb 孳
uxxg 鹚
uxxn 慈
uy 六
uyg 冫
uygd 疰
uygg 疒
uygh 辛
uygh 丬
uyh 门
uyi 闵
uyiy 凉
uyl 凛
uym 闹
uymv 闶
uyn 阂
uyt 辨
uyu 辩
uyv 阆
uyw 瘁
uywu 瘀
uywu 阏
uyx 痃
v 发
va 毁
vaf 媒
vah 姬
vaj 舁
vajd 嫫
vaq 妪
vat 娆
vb 好
vbh 媸
vbn 她
vbs 婀
vc 妈
vca 既
vcag 暨
vcb 即
vcbf 孥
vcbh 妤
vcc 驽
vck 始
vcl 努
vcm 帑
vcmw 胬
vcn 怒
vcx 弩
vcy 奴
vd 姑
vdf 娠
ve 奶
vef 垦
vefc 媛
veg 姐
vei 艮
venu 恳
vep 退
vepc 嫒
vf 寻
vfb 那
vfc 妓
vff 娃
vfh 奸
vfhk 聿
vfhp 建
vfi 妹
vfj 媾
vfk 嬉
vfq 妩
vfs 孀
vft 姥
vfuk 嫱
vg 姨
vga 妍
vge 婧
vgey 婊
vgh 嫣
vgk 嫩
vgo 娅
vgv 婕
vhc 叟
vhk 肀
vi 录
vii 隶
vij 肃
vijh 剥
vip 逮
viph 嫦
vipi 逯
viq 姚
vit 妙
vj 旭
vjf 旮
vjfg 娌
vjg 妲
vjj 娼
vjl 媪
vjs 巢
vjsj 剿
vk 如
vkb 邵
vkc 邕
vke 娟
vkf 召
vkgd 娱
vkl 劭
vkm 娲
vkn 恕
vkp 迢
vkx 絮
vl 舅
vld 姻
vlf 甾
vlq 邋
vlx 嫘
vm 妯
vmgn 娉
vmm 姗
vn 刀
vnf 妞
vng 彐
vnh 媚
vnhe 婿
vnn 妃
vnnn 巛
vntn 娓
vnu 鼠
vnud 鼷
vnuk 鼯
vnum 鼬
vnuv 鼢
vnuv 鼹
vnx 妮
vny 姒
vo 灵
vp 巡
vpe 嫁
vpj 婶
vpm 帚
vpq 婉
vpr 嫔
vpt 姹
vq 婚
vqk 娩
vqo 舄
vqy 妁
vqyg 鸠
vri 姝
vrt 婢
vs 杂
vsf 嫖
vt 九
vtd 妖
vtdj 娇
vte 尹
vtf 妊
vtg 姓
vth 臼
vthn 媳
vtk 群
vtkb 郡
vtkd 君
vtl 媲
vtnt 姊
vtr 娥
vu 嫌
vua 姘
vuj 婵
vujh 嫜
vum 嫡
vuq 姣
vus 娴
vut 嫉
vuth 馗
vux 娣
vv 妇
vvf 娜
vvh 嫂
vvv 女
vwi 臾
vwy 妗
vx 姆
vxx 妣
vy 妨
vyi 刃
vyi 丸
vyl 妫
vylg 嬗
vynt 妒
vynu 忍
vyp 婷
vys 嬷
vyv 娘
w 人
wa 代
wad 偌
waf 仝
waff 垡
wah 伢
waj 借
wajv 偃
wal 黛
wam 贷
wamj 岱
waqj 僭
waqt 儆
waqy 伛
war 牮
wat 伐
watq 侥
waw 供
waye 袋
wb 他
wba 戗
wbb 仓
wbg 仔
wbg 佴
wbj 创
wc 公
wcd 颂
wce 俑
wcg 瓮
wcn 翁
wcr 侔
wct 俟
wcw 俊
wcwy 傩
wcy 仅
wd 估
wda 佐
wde 侑
wdf 侉
wdg 仨
wdj 佰
wdjd 俳
wdjn 俺
wdk 佑
wdm 段
wdn 优
wds 倚
wdt 做
wdtf 俦
wdu 僚
wdw 傣
wdwh 俸
wdy 伏
wdyy 仗
we 仍
web 俘
weh 佣
wf 会
wfa 偾
wfcb 郐
wfcj 刽
wfcy 伎
wfd 儒
wff 侍
wffg 佳
wfg 仁
wfg 仕
wfh 什
wfhg 值
wfi 祭
wfil 畲
wfiu 佘
wfiy 俅
wfk 舍
wfkb 舒
wfkg 佶
wfkk 僖
wfl 舆
wfm 璺
wfmo 爨
wfn 伟
wfny 传
wft 佬
wfv 佞
wfy 付
wg 全
wgc 倒
wgcf 侄
wgd 癸
wge 傅
wgeg 倩
wgej 俞
wgen 愈
wgen 毹
wgep 逾
wgeq 觎
wgg 伍
wgi 剑
wgif 佥
wgit 敛
wgj 便
wgk 合
wgka 龠
wgkb 命
wgkg 鸽
wgkl 盒
wgkm 凳
wgkm 颌
wgkn 翕
wgkq 使
wgkr 拿
wgku 登
wgkw 歙
wgkx 龛
wgl 僵
wgm 俩
wgmy 债
wgmy 俪
wgn 佤
wgnb 兮
wgo 俨
wgq 例
wgqt 傲
wgu 侠
wh 个
whf 企
whh 佧
whjh 倬
whm 侦
whn 候
wht 修
whtd 倏
whtn 悠
whty 攸
whw 俱
why 仆
wi 偿
wie 俏
wim 倘
wipq 傥
wiq 佻
wiu 氽
wj 介
wjf 俚
wjg 但
wjh 伸
wjjg 倡
wjm 偶
wjq 偈
wjs 倮
wk 保
wkg 俣
wkh 促
wkhh 仲
wkk 侣
wkq 侃
wksf 堡
wkso 煲
wl 佃
wlge 儇
wlge 偎
wlk 伽
wll 儡
wln 仂
wm 仙
wmf 倜
wmg 佩
wmgk 侗
wmgn 俜
wmj 侧
wmn 仉
wmw 催
wn 亿
wnb 倔
wnd 倨
wng 伺
wnh 假
wnk 僻
wnnf 阜
wnnp 追
wnt 侯
wnx 伲
wny 似
wo 伙
wov 偻
wpe 侬
wpg 伫
wpn 倌
wpr 傧
wpw 倥
wpx 佗
wq 你
wqa 低
wqb 爷
wqbh 仰
wqc 爸
wqd 儋
wqf 釜
wqin 您
wqj 像
wqk 佝
wqq 侈
wqqq 爹
wqr 斧
wqrn 偬
wqu 父
wr 伯
wrh 件
wri 侏
wrq 傀
wrt 俾
wrw 佚
ws 休
wsg 体
wsh 仃
wsk 何
wso 僳
wsq 鸺
wss 傈
wt 作
wta 伥
wtc 叙
wtcy 仫
wtd 侨
wtf 任
wtfh 仟
wtfh 仵
wtfm 凭
wtfm 赁
wtfn 恁
wth 亻
wtj 俐
wtl 伤
wtlt 傻
wtn 仡
wtp 途
wtr 俄
wtu 余
wtuf 斜
wtuy 佟
wtv 倭
wtx 侮
wty 八
wu 们
wud 倦
wudh 佯
wuf 伴
wug 位
wuh 伞
wuj 僮
wuk 倍
wul 僧
wup 傍
wuq 佼
wv 分
wvd 颁
wvf 健
wvff 坌
wvl 盆
wvm 贫
wvmj 岔
wvn 仇
wvnu 忿
wvp 侵
wvq 倪
wvt 伊
wvy 仞
ww 从
wwb 耸
wwbn 伧
wwe 佾
wweg 俎
wwf 坐
wwfc 侩
wwfi 傺
wwg 丛
wwgi 俭
wwgj 偷
wwj 价
wwk 谷
wwkg 鹆
wwkw 欲
wwn 怂
wwv 份
www 众
wwwk 俗
wwx 伦
wwyc 伶
wwyo 僬
wx 化
wxb 仑
wxd 倾
wxf 华
wxj 佛
wxm 货
wxx 仳
wxxr 偕
wy 信
wyb 禽
wyc 令
wycb 邻
wycm 领
wycn 瓴
wycn 翎
wye 依
wyeb 隽
wyf 储
wyfj 隼
wyg 隹
wygg 住
wyi 僦
wyj 侪
wyk 售
wyl 伪
wym 伉
wyn 仿
wyna 偏
wynb 今
wyne 衾
wynk 含
wynm 贪
wynm 颔
wynn 念
